" Copy", " Копіювати"
"Select values from each attribute to include in this product. Each unique combination of values creates a unique product SKU.","Виберіть значення з кожного атрибуту для включення в товар. Кожна унікальна комбінація створює унікальний SKU товару."
"Select...","Виберіть..."
"Selected","Обрано"
"Selected Attributes:","Обрані атрибути:"
"Selected Attributes\:","Обрані атрибути\:"
"Selected allowed currency ""%1"" is not available in installed currencies.","Обрана валюта ""%1"" недоступна серед встановлених валют."
"Selected layout update is not available","Вибране оновлення макету недоступне"
"Selected option(s) or their combination is not currently available.","Обрані опції або їх комбінація наразі недоступні."
"Selected products are not assigned to any source.","Вибрані товари не призначені жодному джерелу."
"Selected shipping method is not available. Please select another shipping method for this order.","Обраний спосіб доставки недоступний. Виберіть інший спосіб доставки для цього замовлення."
"Send Check to","Надіслати чек на"
"Send Check to:","Надіслати чек на:"
"Send Count","Кількість відправлень"
"Send Credit Memo Comment Email Copy To","Надіслати копію листа з коментарем кредит-ноти"
"Send Credit Memo Comment Email Copy To","Надіслати копію листа з коментарем кредит-ноти (Кому)"
"Send Credit Memo Comments Email Copy Method","Метод надсилання копії листа з коментарями до кредит-ноти"
"Send Credit Memo Email Copy Method","Метод надсилання копії листа з кредит-нотою"
"Send Credit Memo Email Copy To","Надіслати копію листа з кредит-нотою (Кому)"
"Send Email","Надіслати лист"
"Send Email Confirmation","Надіслати підтвердження електронною поштою"
"Send Emails To","Надсилати листи на"
"Send Invoice Comment Email Copy To","Надіслати копію листа з коментарем рахунку"
"Send Invoice Comments Email Copy Method","Метод надсилання копії листа з коментарями до рахунку"
"Send Invoice Email Copy Method","Метод надсилання копії листа з рахунком"
"Send Invoice Email Copy To","Надіслати копію листа з рахунком (Кому)"
"Send Order Comment Email Copy To","Надіслати копію листа з коментарем замовлення"
"Send Order Comments Email Copy Method","Метод надсилання копії листа з коментарями до замовлення"
"Send Order Email","Надіслати лист із замовленням"
"Send Order Email Copy Method","Метод надсилання копії листа із замовленням"
"Send Order Email Copy To","Надіслати копію листа із замовленням (Кому)"
"Send Payment Failed Email Copy Method","Метод надсилання копії листа про невдалий платіж"
"Send Payment Failed Email Copy To","Надіслати копію листа про невдалий платіж (Кому)"
"Send Sales Emails","Надсилання листів щодо продажів"
"Send Shipment Comment Email Copy To","Надіслати копію листа з коментарем відвантаження"
"Send Shipment Comments Email Copy Method","Метод надсилання копії листа з коментарями до відвантаження"
"Send Shipment Email Copy Method","Метод надсилання копії листа з відвантаженням"
"Send Shipment Email Copy To","Надіслати копію листа з відвантаженням (Кому)"
"Send To","Надіслати"
"Send Tracking Information","Надіслати інформацію про відстеження"
"Send Welcome Email From","Надсилати лист-привітання від"
"Send confirmation link","Надіслати посилання для підтвердження"
"Sender","Відправник"
"Sender Email","Email відправника"
"Sender Name","Ім'я відправника"
"Sending","Надсилання"
"Sent","Надіслано"
"Separate Email","Окремий лист"
"Separate by "","".","Розділяти за допомогою "",""."
"Separately","Окремо"
"Server side less compilation","Серверна компіляція Less"
"Service","Сервіс"
"Service unavailable: %1","Сервіс недоступний: %1"
"Services","Сервіси"
"Session Validation Settings","Налаштування перевірки сесії"
"Set","Встановити"
"Set Ascending Direction","Встановити напрямок за зростанням"
"Set Descending Direction","Встановити напрямок за спаданням"
"Set Items' Status to be In Stock When Order is Cancelled","Встановлювати статус товарів 'В наявності' при скасуванні замовлення"
"Set Product as New From","Встановити товар як новий з"
"Set Return-Path","Встановити Return-Path"
"Set a New Password","Встановити новий пароль"
"Set as Default","Встановити за замовчуванням"
"Set order for existing transactions not allowed","Встановлення порядку для існуючих транзакцій заборонено"
"Settings","Налаштування"
"Settlement Consolidation","Консолідація платежів"
"Settlement Report Settings","Налаштування звіту з платежів"
"Settlement of a chargeback.","Платіж за поверненням коштів (chargeback)."
"Severity","Серйозність"
"Shape","Форма"
"Share Customer Accounts","Спільні облікові записи клієнтів"
"Share Options","Опції спільного доступу"
"Share Wish List","Поділитися списком бажань"
"Shareable","Для спільного використання"
"Sharing Information","Інформація про обмін"
"Ship","Відвантажити"
"Ship Bundle Items","Відвантажувати товари комплекту разом"
"Ship Date","Дата відвантаження"
"Ship Here","Відвантажити сюди"
"Ship To","Одержувач"
"Ship To:","Одержувач:"
"Ship to Applicable Countries","Доставка у вказані країни"
"Ship to Multiple Addresses","Доставка на кілька адрес"
"Ship to Specific Countries","Доставка у вказані країни"
"Ship to:","Одержувач:"
"Ship-to Name","Ім'я отримувача"
"Shipment","Відвантаження"
"Shipment #","Відвантаження №"
"Shipment # %1","Відвантаження № %1"
"Shipment #%1","Відвантаження №%1"
"Shipment #%1 comment added","Додано коментар до відвантаження №%1"
"Shipment #%1 created","Створено відвантаження №%1"
"Shipment #%1 | %3 (%2)","Відвантаження №%1 | %3 (%2)"
"Shipment Comment Email Sender","Відправник листа з коментарем щодо відвантаження"
"Shipment Comment Email Template","Шаблон листа з коментарем щодо відвантаження"
"Shipment Comment Email Template for Guest","Шаблон листа з коментарем щодо відвантаження для гостей"
"Shipment Comments","Коментарі до відвантаження"
"Shipment Date","Дата відвантаження"
"Shipment Email Sender","Відправник листа про відвантаження"
"Shipment Email Template","Шаблон листа про відвантаження"
"Shipment Email Template for Guest","Шаблон листа про відвантаження для гостей"
"Shipment History","Історія відвантажень"
"Shipment Information","Інформація про відвантаження"
"Shipment Options","Опції відвантаження"
"Shipment Total","Разом за відвантаження"
"Shipments","Відвантаження"
"Shipped","Відвантажено"
"Shipped By","Відвантажено"
"Shipping","Доставка"
"Shipping & Handling","Доставка та обробка"
"Shipping & Handling (%1)","Доставка та обробка (%1)"
"Shipping & Handling (Excl.Tax)","Доставка та обробка (без податку)"
"Shipping & Handling (Incl.Tax)","Доставка та обробка (з податком)"
"Shipping &amp; Handling","Доставка та обробка"
"Shipping &amp; Handling Information","Інформація про доставку та обробку"
"Shipping (Excl. Tax)","Доставка (без податку)"
"Shipping (Incl. Tax)","Доставка (з податком)"
"Shipping Address","Адреса доставки"
"Shipping Address:","Адреса доставки:"
"Shipping Address: ","Адреса доставки: "
"Shipping Amount","Вартість доставки"
"Shipping Country","Країна доставки"
"Shipping Excl. Tax (%1)","Доставка без податку (%1)"
"Shipping Incl. Tax (%1)","Доставка з податком (%1)"
"Shipping Info","Інформація про доставку"
"Shipping Information","Інформація про доставку"
"Shipping Method","Спосіб доставки"
"Shipping Method:","Спосіб доставки:"
"Shipping Methods","Способи доставки"
"Shipping Origin","Місце відправлення"
"Shipping Policy","Політика доставки"
"Shipping Policy Parameters","Параметри політики доставки"
"Shipping Policy Parameters Section","Розділ параметрів політики доставки"
"Shipping Postcode","Поштовий індекс доставки"
"Shipping Price","Вартість доставки"
"Shipping Prices","Вартість доставки"
"Shipping Refund","Повернення коштів за доставку"
"Shipping Region","Регіон доставки"
"Shipping Report","Звіт з доставки"
"Shipping Settings","Налаштування доставки"
"Shipping Settings Section","Розділ налаштувань доставки"
"Shipping State/Province","Штат/Провінція доставки"
"Shipping To","Доставка до"
"Shipping address is not set","Адресу доставки не встановлено"
"Shipping address not set.","Адресу доставки не встановлено."
"Shipping and Handling","Доставка та обробка"
"Shipping and Tracking Information","Інформація про доставку та відстеження"
"Shipping is not applicable.","Доставка не застосовується."
"Shipping labels is not available.","Етикетки доставки недоступні."
"Shipping method is not applicable for empty cart","Спосіб доставки не застосовується для порожнього кошика"
"Shop By","Купувати за"
"Shop now using (150 X 40)","Купуйте зараз (150 X 40)"
"Shop now using (150 X 60)","Купуйте зараз (150 X 60)"
"Shopping Cart","Кошик"
"Shopping Cart Display Settings","Налаштування відображення кошика"
"Shopping Cart Items","Товари в кошику"
"Shopping Cart from %1","Кошик від %1"
"Shopping Options","Опції покупок"
"Shortcut","Ярлик"
"Shortcut Buttons Flavor","Стиль кнопок швидкого доступу"
"Show","Показати"
"Show Actual Values","Показувати фактичні значення"
"Show Apple Pay in mini cart preview","Показувати Apple Pay у міні-кошику"
"Show Apple Pay on cart page","Показувати Apple Pay на сторінці кошика"
"Show Apple Pay on checkout page","Показувати Apple Pay на сторінці оформлення замовлення"
"Show Apple Pay on product detail page","Показувати Apple Pay на сторінці деталей товару"
"Show Arrows","Показувати стрілки"
"Show Breadcrumbs for CMS Pages","Показувати навігаційний ланцюжок для CMS-сторінок"
"Show Button","Показати кнопку"
"Show By","Показати за"
"Show Company","Показати компанію"
"Show Content as","Показати вміст як"
"Show Controls","Показати елементи керування"
"Show Cross-sell Items in the Shopping Cart","Показувати товари перехресного продажу в кошику"
"Show Date of Birth","Показувати дату народження"
"Show Dots","Показувати точки"
"Show Fax","Показати факс"
"Show Gender","Показати стать"
"Show List","Показати список"
"Show Method if Not Applicable","Показувати спосіб, якщо недоступний"
"Show Middle Name (initial)","Показувати по батькові (ініціал)"
"Show Notice if JavaScript is Disabled","Показувати сповіщення, якщо JavaScript вимкнено"
"Show Notice if Local Storage is Disabled","Показувати сповіщення, якщо локальне сховище вимкнено"
"Show Overlay","Показати накладання"
"Show Packages","Показати упаковки"
"Show PayPal Credit on cart page","Показувати PayPal Credit на сторінці кошика"
"Show PayPal Credit on checkout page","Показувати PayPal Credit на сторінці оформлення замовлення"
"Show PayPal Credit on minicart page","Показувати PayPal Credit на сторінці міні-кошика"
"Show PayPal Credit on product detail page","Показувати PayPal Credit на сторінці деталей товару"
"Show Prefix","Показати префікс"
"Show Report","Показати звіт"
"Show Report For:","Показати звіт для:"
"Show Results Count for Each Recommendation","Показати кількість результатів для кожної рекомендації"
"Show Results Count for Each Suggestion","Показати кількість результатів для кожної пропозиції"
"Show Reviews","Показати відгуки"
"Show Suffix","Показати суфікс"
"Show Swatches in Product List","Показати зразки кольорів у списку товарів"
"Show Tax/VAT Number","Показати номер податку/ПДВ"
"Show Telephone","Показати телефон"
"Show Toolbar","Показати панель інструментів"
"Show VAT Number on Storefront","Показати номер ПДВ у вітрині магазину"
"Show Venmo on cart page","Показати Venmo на сторінці кошика"
"Show Venmo on checkout page","Показати Venmo на сторінці оформлення замовлення"
"Show Venmo on minicart page","Показати Venmo на сторінці міні-кошика"
"Show Venmo on product detail page","Показати Venmo на сторінці деталей товару"
"Show buttons in mini cart preview","Показати кнопки в попередньому перегляді міні-кошика"
"Show buttons on cart page","Показати кнопки на сторінці кошика"
"Show buttons on checkout page","Показати кнопки на сторінці оформлення замовлення"
"Show buttons on product detail page","Показати кнопки на сторінці деталей товару"
"Show for Current","Показати для поточного"
"Show in Sidebar","Показати в бічній панелі"
"Show more","Показати більше"
"Show more...","Показати більше..."
"Show on checkout page","Показати на сторінці оформлення замовлення"
"Show related video","Показати пов'язане відео"
"Sidebar","Бічна панель"
"Sidebar (right)","Бічна панель (праворуч)"
"Sign In","Увійти"
"Sign Out","Вийти"
"Sign Static Files","Підписувати статичні файли"
"Sign Up for Newsletter","Підписатися на розсилку"
"Sign Up for Our Newsletter:","Підпишіться на нашу розсилку:"
"Sign a billing agreement to streamline further purchases  with PayPal.","Підпишіть платіжну угоду для спрощення подальших покупок через PayPal."
"Sign in","Увійти"
"Sign-in Information","Інформація для входу"
"Signature","Підпис"
"Signature Confirmation","Підтвердження підпису"
"Signed-up Point","Бал за реєстрацію"
"Silver","Срібний"
"Single-Store Mode","Одно-магазинний режим"
"Site Map","Карта сайту"
"Sitemap","Карта сайту"
"Sitemap File Limits","Обмеження файлу карти сайту"
"Sitemap Generation Warnings","Попередження щодо генерації карти сайту"
"Sitemap Information","Інформація про карту сайту"
"Sitemap generate Warnings","Попередження генерації карти сайту"
"Size","Розмір"
"Size for %1","Розмір для %1"
"Size(bytes)","Розмір (байти)"
"Skip Category Selection","Пропустити вибір категорії"
"Skip Order Review Step","Пропустити крок перегляду замовлення"
"Skip error entries","Пропустити записи з помилками"
"Skip image uploading at this time","Пропустити завантаження зображень зараз"
"Skip price at this time","Пропустити встановлення ціни зараз"
"Skip quantity at this time","Пропустити встановлення кількості зараз"
"Skip to Content","Перейти до вмісту"
"Skip to the beginning of the images gallery","Перейти до початку галереї зображень"
"Skip to the end of the images gallery","Перейти до кінця галереї зображень"
"Slide","Слайд"
"Slide ","Слайд "
"Slide Name","Назва слайду"
"Slider","Слайдер"
"Small","Маленький"
"Soap fault reason.","Причина помилки Soap."
"Soft Descriptor","М'який дескриптор"
"Sold to:","Продано:"
"Solid","Суцільний"
"Some Dynamic Actions","Деякі динамічні дії"
"Some Exception Message","Якесь повідомлення про виняток"
"Some Label","Якась мітка"
"Some Message","Якесь повідомлення"
"Some addresses cannot be used due to country-specific configurations.","Деякі адреси не можна використовувати через конфігурації для конкретних країн."
"Some coupons are invalid.","Деякі купони недійсні."
"Some error","Якась помилка"
"Some internal exception message.","Якесь внутрішнє повідомлення про виняток."
"Some item options or their combination are not currently available.","Деякі опції товару або їх комбінація наразі недоступні."
"Some of the products are out of stock.","Деякі товари відсутні на складі."
"Some of the products below do not have all the required options.","Деякі з товарів нижче не мають усіх необхідних опцій."
"Some of the selected item options are not currently available.","Деякі з вибраних опцій товару наразі недоступні."
"Some of the selected options are not currently available.","Деякі з вибраних опцій наразі недоступні."
"Some product variations fields are not valid.","Деякі поля варіацій товару недійсні."
"Someone logged into this account from another device or browser. Your current session is terminated.","Хтось увійшов у цей обліковий запис з іншого пристрою або браузера. Вашу поточну сесію завершено."
"Something is wrong with the file upload settings.","Щось не так із налаштуваннями завантаження файлів."
"Something went wrong","Щось пішло не так"
"Something went wrong  clearing the comparison list.","Щось пішло не так під час очищення списку порівняння."
"Something went wrong  deleting this review.","Щось пішло не так під час видалення цього відгуку."
"Something went wrong  while deleting this condition.","Щось пішло не так під час видалення цієї умови."
"Something went wrong deleting this rate.","Щось пішло не так під час видалення цієї ставки."
"Something went wrong deleting this tax rule.","Щось пішло не так під час видалення цього податкового правила."
"Something went wrong during the item options declaration.","Щось пішло не так під час оголошення опцій товару."
"Something went wrong during the operation.","Щось пішло не так під час операції."
"Something went wrong while adding products to websites.","Щось пішло не так під час додавання товарів на веб-сайти."
"Something went wrong while assigning the order status.","Щось пішло не так під час призначення статусу замовлення."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Щось пішло не так під час компіляції списку дозволених ресурсів. Детальніше можна дізнатися в журналі винятків."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Щось пішло не так під час видалення ролей і дозволів. Детальніше можна дізнатися в журналі винятків."
"Something went wrong while deleting these records.","Щось пішло не так під час видалення цих записів."
"Something went wrong while editing the customer.","Щось пішло не так під час редагування клієнта."
"Something went wrong while generating coupons. Please review the log and try again.","Щось пішло не так під час генерації купонів. Перевірте журнал і спробуйте ще раз."
"Something went wrong while getting the image url.","Щось пішло не так під час отримання URL-адреси зображення."
"Something went wrong while getting the requested content.","Щось пішло не так під час отримання запитуваного вмісту."
"Something went wrong while importing table rates.","Щось пішло не так під час імпорту табличних тарифів."
"Something went wrong while processing the request.","Щось пішло не так під час обробки запиту."
"Something went wrong while processing your order.","Щось пішло не так під час обробки вашого замовлення."
"Something went wrong while processing your order. Please try again later.","Щось пішло не так під час обробки вашого замовлення. Будь ласка, спробуйте пізніше."
"Something went wrong while putting your store into maintenance mode.","Щось пішло не так під час переведення вашого магазину в режим обслуговування."
"Something went wrong while removing products from the websites.","Щось пішло не так під час видалення товарів з веб-сайтів."
"Something went wrong while resetting customer password.","Щось пішло не так під час скидання пароля клієнта."
"Something went wrong while saving URL Rewrite.","Щось пішло не так під час збереження URL Rewrite."
"Something went wrong while saving file.","Щось пішло не так під час збереження файлу."
"Something went wrong while saving option.","Щось пішло не так під час збереження опції."
"Something went wrong while saving the attribute set.","Щось пішло не так під час збереження набору атрибутів."
"Something went wrong while saving the attribute.","Щось пішло не так під час збереження атрибута."
"Something went wrong while saving the block.","Щось пішло не так під час збереження блоку."
"Something went wrong while saving the category.","Щось пішло не так під час збереження категорії."
"Something went wrong while saving the customer.","Щось пішло не так під час збереження клієнта."
"Something went wrong while saving the file(s).","Щось пішло не так під час збереження файлу(ів)."
"Something went wrong while saving the gift message.","Щось пішло не так під час збереження подарункового повідомлення."
"Something went wrong while saving the new password.","Щось пішло не так під час збереження нового пароля."
"Something went wrong while saving the page.","Щось пішло не так під час збереження сторінки."
"Something went wrong while saving the page. Please refresh the page and try again.","Щось пішло не так під час збереження сторінки. Будь ласка, оновіть сторінку та спробуйте ще раз."
"Something went wrong while saving the rule data. Please review the error log.","Щось пішло не так під час збереження даних правила. Перевірте журнал помилок."
"Something went wrong while saving the search query.","Щось пішло не так під час збереження пошукового запиту."
"Something went wrong while saving this condition.","Щось пішло не так під час збереження цієї умови."
"Something went wrong while saving this configuration.","Щось пішло не так під час збереження цієї конфігурації."
"Something went wrong while saving this configuration:","Щось пішло не так під час збереження цієї конфігурації:"
"Something went wrong while saving this group.","Щось пішло не так під час збереження цієї групи."
"Something went wrong while saving this review.","Щось пішло не так під час збереження цього відгуку."
"Something went wrong while saving this template.","Щось пішло не так під час збереження цього шаблону."
"Something went wrong while saving your subscription.","Щось пішло не так під час збереження вашої підписки."
"Something went wrong while saving. Please review the error log.","Щось пішло не так під час збереження. Перевірте журнал помилок."
"Something went wrong while scheduling operations.","Щось пішло не так під час планування операцій."
"Something went wrong while trying to delete the category.","Щось пішло не так під час спроби видалення категорії."
"Something went wrong while unassigning the order.","Щось пішло не так під час зняття призначення замовлення."
"Something went wrong while unsubscribing you.","Щось пішло не так під час вашої відписки."
"Something went wrong while updating the product(s) attributes.","Щось пішло не так під час оновлення атрибутів товару(ів)."
"Something went wrong while updating the product(s) status.","Щось пішло не так під час оновлення статусу товару(ів)."
"Something went wrong while updating these review(s).","Щось пішло не так під час оновлення цих відгуків."
"Something went wrong while validating the VAT ID.","Щось пішло не так під час перевірки ідентифікатора ПДВ."
"Something went wrong while writing to the backup file ""%1"".","Щось пішло не так під час запису в файл резервної копії ""%1""."
"Something went wrong with the subscription.","Щось пішло не так із підпискою."
"Something went wrong with your request. Please try again later.","Щось пішло не так із вашим запитом. Будь ласка, спробуйте пізніше."
"Something went wrong.","Щось пішло не так."
"Something went wrong. Please try again.","Щось пішло не так. Будь ласка, спробуйте ще раз."
"Sorry, but something went wrong","Вибачте, але щось пішло не так"
"Sorry, but something went wrong. Please contact PayPal customer service.","Вибачте, але щось пішло не так. Будь ласка, зверніться до служби підтримки клієнтів PayPal."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Вибачте, але адміністратор заборонив підписку для гостей. Будь ласка, <a href=""%1"">зареєструйтеся</a>."
"Sorry, but the data is invalid or the file is not uploaded.","Вибачте, але дані недійсні або файл не завантажено."
"Sorry, but this password has already been used. Please create another.","Вибачте, але цей пароль вже використовувався. Будь ласка, створіть інший."
"Sorry, but we can't deliver to the destination country with this shipping module.","Вибачте, але ми не можемо доставити в країну призначення за допомогою цього модуля доставки."
"Sorry, but we can't find the new category you selected.","Вибачте, але ми не можемо знайти нову категорію, яку ви вибрали."
"Sorry, but we can't find the new parent category you selected.","Вибачте, але ми не можемо знайти нову батьківську категорію, яку ви вибрали."
"Sorry, but we cannot read from or write to backup file ""%1"".","Вибачте, але ми не можемо читати або записувати в файл резервної копії ""%1""."
"Sorry, guest checkout is not available.","Вибачте, оформлення замовлення для гостей недоступне."
"Sorry, no quotes are available for this order right now.","Вибачте, наразі немає доступних пропозицій для цього замовлення."
"Sorry, no quotes are available for this order.","Вибачте, для цього замовлення немає доступних пропозицій."
"Sorry, something went wrong during image resize. Please see log for details.","Вибачте, щось пішло не так під час зміни розміру зображення. Детальніше дивіться в журналі."
"Sorry, something went wrong during product attributes update. Please see log for details.","Вибачте, щось пішло не так під час оновлення атрибутів товару. Детальніше дивіться в журналі."
"Sorry, something went wrong during update synchronization. Please see log for details.","Вибачте, щось пішло не так під час синхронізації оновлень. Детальніше дивіться в журналі."
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","Вибачте, щось пішло не так під час надання дозволів. Детальніше можна дізнатися в журналі винятків."
"Sorry, something went wrong while triggering recollect totals for affected quotes. Please see log for details.","Вибачте, щось пішло не так під час перерахунку підсумків для залучених пропозицій. Детальніше дивіться в журналі."
"Sorry, something went wrong.","Вибачте, щось пішло не так."
"Sorry, something went wrong. Please try again later.","Вибачте, щось пішло не так. Будь ласка, спробуйте пізніше."
"Sorry, something went wrong. That's all we know.","Вибачте, щось пішло не так. Це все, що нам відомо."
"Sorry, something went wrong. You can find out more in the error log.","Вибачте, щось пішло не так. Детальніше можна дізнатися в журналі помилок."
"Sorry, the default display currency you selected is not available in allowed currencies.","Вибачте, валюта за замовчуванням для відображення, яку ви вибрали, недоступна серед дозволених валют."
"Sorry, there has been an error processing your request. Please try again later.","Вибачте, під час обробки вашого запиту сталася помилка. Будь ласка, спробуйте пізніше."
"Sorry, there was an error getting requested content. Please contact the store owner.","Вибачте, сталася помилка під час отримання запитуваного вмісту. Будь ласка, зверніться до власника магазину."
"Sorry, there was an error processing your registration request to Magento Analytics. Please try again later.","Вибачте, сталася помилка під час обробки вашого запиту на реєстрацію в Magento Analytics. Будь ласка, спробуйте пізніше."
"Sorry, we had a problem loading our “What’s new” content.","Вибачте, у нас виникла проблема із завантаженням вмісту \"Що нового\"."
"Sorry, we haven't installed the base currency you selected.","Вибачте, базова валюта, яку ви обрали, не встановлена."
"Sorry, we haven't installed the default display currency you selected.","Вибачте, валюта за замовчуванням для відображення, яку ви обрали, не встановлена."
"Sorry, we're unable to complete this request.","Вибачте, ми не можемо виконати цей запит."
"Sorry, you need permissions to view this content.","Вибачте, вам потрібні права доступу для перегляду цього вмісту."
"Sort By","Сортувати за"
"Sort Custom Option","Сортувати користувацьку опцію"
"Sort Custom Options","Сортувати користувацькі опції"
"Sort Option","Опція сортування"
"Sort Order","Порядок сортування"
"Sort Order PayPal Credit","Порядок сортування PayPal Credit"
"Sort Order of widget instances in the same container","Порядок сортування екземплярів віджетів у контейнері"
"Sort Variations","Сортувати варіації"
"Sort order must be a positive integer.","Порядок сортування має бути додатним цілим числом."
"Source","Джерело"
"Source ""%1"" is not exist","Джерело ""%1"" не існує"
"Source %sourceCode does not exist","Джерело %sourceCode не існує"
"Source Code","Код джерела"
"Source Import Commands must implement %interface.","Команди імпорту джерела повинні реалізовувати %interface."
"Source Information","Інформація про джерело"
"Source Item Status","Статус елемента джерела"
"Source Priority","Пріоритет джерела"
"Source Selection","Вибір джерела"
"Source Selection Algorithm","Алгоритм вибору джерела"
"Source Status","Статус джерела"
"Source Validator must implement AssignValidatorInterface.","Валідатор джерела повинен реалізовувати AssignValidatorInterface."
"Source Validator must implement BulkInventoryTransferValidatorInterface.","Валідатор джерела повинен реалізовувати BulkInventoryTransferValidatorInterface."
"Source Validator must implement MassUnassignValidatorInterface.","Валідатор джерела повинен реалізовувати MassUnassignValidatorInterface."
"Source Validator must implement SourceValidatorInterface.","Валідатор джерела повинен реалізовувати SourceValidatorInterface."
"Source code ""%code"" does not exists","Код джерела ""%code"" не існує"
"Source code: ","Код джерела: "
"Source file coping failed","Не вдалося скопіювати файл джерела"
"Source item Validator must implement SourceItemValidatorInterface.","Валідатор елемента джерела повинен реалізовувати SourceItemValidatorInterface."
"Source item not found by source code: %1 and sku: %2.","Елемент джерела не знайдено за кодом джерела: %1 та SKU: %2."
"Source model ""%1"" not found for attribute ""%2""","Модель джерела ""%1"" не знайдена для атрибута ""%2"""
"Source to Stock Assigning","Призначення джерела складу"
"Source with code ""%value"" does not exist.","Джерело з кодом ""%value"" не існує."
"Source with source code ""%value"" does not exist.","Джерело з кодом джерела ""%value"" не існує."
"Source:","Джерело:"
"Sources","Джерела"
"Space separated list of classes.","Список класів, розділених пробілами."
"Special Expires On: %1","Акція діє до: %1"
"Special Price","Спеціальна ціна"
"Special Price From","Спеціальна ціна з"
"Special Price: %1","Спеціальна ціна: %1"
"Special Products","Спеціальні товари"
"Specific %1","Конкретний %1"
"Specific Countries","Конкретні країни"
"Specific Coupon","Конкретний купон"
"Specified","Вказано"
"Specified Page","Вказана сторінка"
"Specified cache type(s) don't exist: %1","Вказаного типу кешу не існує: %1"
"Specified rule does not allow auto generated coupons","Вказане правило не дозволяє автоматично генеровані купони"
"Specified rule does not allow automatic coupon generation","Вказане правило не дозволяє автоматичне створення купонів"
"Specified rule does not allow coupons","Вказане правило не дозволяє купони"
"Specified rule only allows auto generated coupons","Вказане правило дозволяє лише автоматично створені купони"
"Specified token does not exist","Вказаний токен не існує"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Визначає, який період підтвердження авторизації встановлено в обліковому записі PayPal продавця. Має відповідати налаштуванню в PayPal."
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Визначає, який період дії замовлення встановлено в обліковому записі PayPal продавця. Має відповідати налаштуванню в PayPal."
"Specify URL or {{base_url}} placeholder.","Вкажіть URL або заповнювач {{base_url}}."
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","Вкажіть URL або заповнювачі {{base_url}} чи {{unsecure_base_url}}."
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Вкажіть URL або шлях, який починається з заповнювача(ів): %1 і закінчується на ""/""."
"Specify a fully qualified URL.","Вкажіть повну URL-адресу."
"Specify backend host for config file generation. If field is empty default value localhost will be saved.","Вкажіть хост бекенду для генерації конфігураційного файлу. Якщо поле порожнє, буде збережено значення за замовчуванням localhost."
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.","Вкажіть порт бекенду для генерації конфігураційного файлу. Якщо поле порожнє, буде збережено значення за замовчуванням 8080."
"Specify grace period in seconds for config file generation. If field is empty default value 300 will be saved. This grace period will be used to serve cached content when the server is healthy. If the server is not healthy, cached content will be served for 3 days before failing.","Вкажіть час очікування в секундах для генерації конфігураційного файлу. Якщо поле порожнє, буде збережено значення за замовчуванням 300. Цей час очікування використовуватиметься для обслуговування кешованого контенту, коли сервер працює нормально. Якщо сервер працює некоректно, кешований контент буде обслуговуватися протягом 3 днів до збою."
"Start","Початок"
